Gene	X10.1.c	X19.1.c	X10.2.d	X10.3.c	X11.1.a	X11.2.d	X11.3.b	X1.1.d	X12.1.d	X12.2.b	X13.1.a	X13.2.c	X13.3.b	X13.4.a	X13.5.c	X1.3.d	X14.1.b	X14.2.c	X14.3.d	X14.4.a	X14.5.b	X14.6.d	X14.7.c	X1.4.d	X15.2.d	X15.3.b	X15.4.d	X15.5.b	X15.6.c	X1.5.c	X16.1.d	X17.1.a	X17.2.d	X17.4.a	X17.5.b	X18.1.d	X18.2.d	X18.3.d	X18.4.c	X18.6.d	X19.2.c	X19.3.c	X19.4.b	X19.5.b	X20.1.d	X20.2.d	X20.3.c	X20.4.c	X21.1.d	X21.2.d	X21.3.d	X21.4.d	X21.5.c	X22.2.d	X22.3.b	X22.4.d	X22.5.d	X2.2.d	X23.3.d	X23.5.d	X2.3.d	X25.1.d	X2.4.a	X24.1.d	X25.3.d	X25.4.d	X2.5.d	X26.1.d	X26.2.d	X2.6.d	X3.1.d	X3.3.d	X3.4.d	X3.5.d	X4.1.c	X4.3.d	X4.4.d	X5.1.d	X5.2.d	X5.3.d	X5.4.d	X5.5.d	X6.1.d	X6.2.b	X6.3.c	X6.4.d	X6.5.d	X6.6.d	X6.7.d	X7.1.d	X7.2.c	X7.3.d	X7.4.c	X7.5.d	X7.6.c	X7.7.c	X7.8.d	X8.1.a	X8.2.d	X8.3.a	X8.4.c	X8.5.b	X8.6.c	X8.7.b	X9.1.d	X9.2.d	X9.3.d	X9.4.d	X9.5.d	X9.6.d	X9.7.d
YBL103C	0.82519	-0.13216	-0.21374	-0.125	-0.00203	-0.26458	-0.08011	-0.12394	0.0204	0.0934	-0.02618	0.77355	0.13898	0.18127	-0.27025	0.05121	0.36253	-0.04841	0.30504	0.24592	-0.07973	0.37876	0.1417	0.02487	-0.07476	-0.18401	-0.02748	0.4079	0.77995	0.06626	-0.07338	0.05478	0.25258	-0.22599	-0.18181	-0.13673	-0.29377	-0.05039	-0.2151	0.38999	-0.08139	-0.05634	-0.13284	-0.03867	-0.19155	0.54876	-0.0644	0.01357	0.22431	0.87826	-0.09875	-0.26572	0.23809	0.79027	0.44481	-0.23656	0.14255	0.12882	0	0.70044	0.07097	0.1754	-0.11988	-0.14389	0.32212	0.09797	-0.18392	0.81285	0.63398	-0.22298	-0.14547	-0.16963	-0.09066	-0.06145	-0.15575	-0.03033	-0.06217	-0.05487	-0.10851	-0.1685	-0.19129	0.05769	-0.15975	-0.03514	-0.10443	0.08205	-0.12785	-0.79981	-0.23615	0.00667	-0.39683	-0.68353	-0.09011	-0.13493	-0.07456	-0.07284	-0.07372	0.85448	-0.09832	0.40808	-0.17886	-0.16064	-0.30861	-0.37859	-0.75341	0.64951	-0.34487	-0.25117	-0.12521	0.29232	-0.26168
YDL170W	0.41795	-0.36317	-0.28327	-0.13506	-0.42973	-0.91485	-0.02115	-0.72636	-0.42442	0.19224	0.39718	-0.35874	-0.19999	0.49822	-0.19698	-0.06991	0.81438	-0.23265	0.69263	0.19087	-0.6218	1.64633	0.48222	-0.07473	-0.12372	-1.04073	-0.38234	-0.1981	1.59315	-0.33209	-0.41031	-0.15849	0.95897	-0.54119	-0.70621	-0.13849	-0.51016	0.17493	-0.52799	1.19738	-0.23053	-0.57607	-0.33961	-0.65875	-0.70292	0.91287	-0.36423	-0.62083	-0.1744	1.57143	-0.31295	-0.47318	0.5985	0.52179	0.87798	-0.3799	0.34113	-0.3084	2.26609	1.69189	-0.12221	0.32005	0.02178	-0.53858	0.64922	-0.06405	-0.72917	1.29089	1.07063	-0.67387	-0.36774	-0.6957	-0.42373	-0.36712	0.12006	-0.28576	-0.01597	-0.30375	-0.79409	-0.04271	-0.32624	-0.35891	-0.75191	-0.41969	-0.33802	-0.09197	-0.81892	-0.58624	-0.50259	-0.73346	-0.81658	-0.75061	-0.11154	1.17657	-0.5367	-0.15754	-0.348	0.38093	-0.50951	1.06427	-0.36286	-0.47433	-0.60579	-0.60008	-0.44322	1.50859	-0.5338	-0.24847	-0.45044	0.79622	-0.55683
YDR043C	-0.07795	0.36197	0.01689	0.92738	0.45865	0.86884	0.03893	1.04699	-0.04566	0.7397	0.51045	0.30638	0.02217	1.10326	0.39455	0.44718	0.56022	0.32343	1.13367	0.43553	0.11168	0.27291	0.30954	0.33786	0.51836	0.77762	0.11726	-0.18556	1.7509	0.15976	0.02914	1.09952	0.26102	-0.09293	-0.06371	0.11269	0.07264	0.29014	-0.12912	0.68497	0.34286	0.43087	-0.05779	0.74273	0.33512	-0.05532	0.30788	0.52841	0.11004	1.29009	0.16978	0.73068	1.52797	1.41489	0.0156	0.25158	0.5254	0.55415	1.47469	1.0391	0.40789	0.88056	0.88108	0.45837	0.49249	0.07865	-0.18386	0.77202	-0.02188	-0.02978	0.23141	-0.38371	-0.37474	-0.09677	-0.38218	-0.03984	1.07794	0.19931	0.35167	0.62783	0.21078	0.33374	0.09612	0.44199	0.10166	0.95004	1.14648	0.2018	0.00187	0.27221	0.37872	0.03372	0.31285	0.9915	0.21616	0.73809	0.05066	0.46266	0.32038	0.48256	1.00277	0.22092	0.30658	0.03556	0.21477	1.67177	0.94007	0.79365	0.08034	0.26988	1.24213
YDR216W	-0.08914	-0.29695	0.90371	1.17725	0.66441	0.68187	0.25223	0.85158	-0.82768	0.37603	0.65313	-0.12873	-1.17618	-0.12702	0.9493	-0.23306	-0.65053	0.29727	0.58691	0.50317	-0.10793	0.06136	0.56866	-0.33567	0.36957	0.84921	-0.05837	0.70718	0.87058	0.5498	0.37338	0.78468	-0.82432	-0.27511	0.34041	-0.16033	-1.04886	0.38014	0.27889	-0.35127	0.50246	0.00514	-0.87194	0.45125	0.32612	-0.04882	-0.11593	0.30688	-1.87192	0.41534	0.05012	0.24664	0.45535	0.07898	0.33031	-0.45022	0.13078	0.63983	-0.04438	0.28149	-0.91917	1.28679	0.82961	-0.81393	-0.94591	0.45827	0.3888	-0.20977	-1.8048	0.36125	0.18171	0.42163	0	0.30607	0.7452	-1.15207	0.24375	0.32366	0.38902	0.06796	0.11774	0.30417	0.16056	0.73727	-0.1248	-0.29644	1.02741	0.12351	-0.24666	0.37096	0.20007	0.23763	0.39428	0.07476	-1.07231	0.84719	0.15113	0.73802	-0.15161	-0.86179	1.26789	0.63042	0.68714	0.693	0.28264	-0.31588	0.55322	0.85938	-0.36579	0.9383	1.03242
YER040W	0.07505	-0.02539	-0.25925	-0.31032	-0.32906	-0.23189	-0.13224	0.27338	-0.31092	-0.08076	0.23444	-0.0231	-0.36184	0.1251	-0.20382	0.11733	0.47623	-0.16432	0.42481	0.20922	-0.35139	0.3028	0.21303	-0.09184	-0.11408	-0.38982	-0.21726	-0.20993	0.77476	-0.12518	-0.23835	0.26071	0.60051	-0.40425	-0.30478	-0.10649	-0.22737	-0.10836	-0.36411	0.51053	-0.05247	-0.12256	-0.28574	-0.04758	-0.26137	0.47286	-0.35934	-0.30887	-0.15857	1.03085	-0.31576	-0.26323	0.08908	0.32555	0.58472	-0.2889	0.20794	0.01383	0.60713	0.58466	-0.04185	-0.33288	-0.11343	-0.17282	0.29559	-0.04871	-0.31669	0.35841	0.49672	-0.46781	-0.31526	-0.33419	-0.2	-0.14043	0.01091	-0.25798	-0.21712	-0.18234	-0.36925	-0.17168	-0.23812	-0.17459	-0.28802	-0.02273	-0.12224	-0.18784	-0.26067	-0.45883	-0.44002	-0.36794	-0.37395	-0.24285	-0.25208	0.86618	-0.45369	-0.19559	-0.29449	0.08702	-0.28183	0.46789	-0.26017	-0.2312	-0.42107	-0.49864	-0.18468	0.85201	-0.37047	0.01916	-0.39333	0.70882	0.20966
YGL254W	0.22464	-0.39978	-0.05442	0.13296	-0.00924	0.60667	-0.41942	0.25427	0.54655	0.19803	-0.15569	0.24203	0.12261	0.15943	0.1952	-0.06614	-0.19633	0.18855	-0.01901	0.27601	-0.26544	0.09768	0.48972	0.20422	-0.235	-0.15456	-0.57121	0.02679	-1.14855	-0.08827	0.5143	0.07595	0.34971	0.21424	0.33672	-0.10763	0.16462	0.34819	0.18175	-0.05309	0.21101	-0.69676	-0.21977	0.20444	-0.28158	0.23579	0.40122	0.23712	0.10208	0.26656	0.44397	0.29491	0.15967	0.18277	0.08435	0.11046	0.01286	0.03679	-0.1423	0.05674	0.01906	0.08703	-0.22165	-0.24156	-0.13874	0.23276	-0.11541	0.30852	0.18729	0.48555	-0.08397	-0.15945	-0.27461	0.54739	-0.52851	-0.10947	0.1394	-0.14053	-0.21937	-0.01133	-0.16433	0.30751	0.30654	0.6064	0.49182	-0.37111	0.08479	-0.14491	-0.38576	0.34384	-0.27937	0.03001	-0.00654	0.0388	-0.40464	-0.24934	0.32437	-0.27715	-0.08602	-0.07136	0.1357	-0.28929	-0.09667	-0.04471	-0.17378	-0.54458	0.17761	-0.16227	0.1201	0.39976	-0.40546
YJR094C	0.61422	-0.00082	-0.37078	-0.12347	0.12552	-0.12746	-0.24224	-0.13626	-0.13808	0.00904	-0.31537	0.77511	-0.1373	-0.02264	0.06721	-0.24414	-0.02782	-0.41057	0.31004	-0.32335	0.14964	-0.30493	0.34704	-0.04896	-0.03041	-0.18674	-0.14623	0.80741	-0.21495	0.02034	-0.04266	-0.25379	-0.2138	-0.13081	-0.03111	-0.08737	-0.34773	0.00571	-0.01856	-0.25696	0.00457	-0.15714	-0.46819	-0.40049	-0.11193	-0.18804	-0.11343	-0.23696	-0.69563	-0.74713	-1.34011	-0.10208	-1.07275	-1.11703	-0.67033	-0.08322	-1.43307	-0.10045	-0.4638	0	0.02491	-0.80268	-0.11936	-0.86601	-0.93869	-0.53376	0.06457	-1.65574	-0.99335	-0.18288	0.2199	-0.1198	0.22077	-0.42807	0.07952	-0.23048	0.0076	-0.02806	-0.42785	0.26284	-0.15732	-0.56568	-0.23193	-0.18821	-0.29059	-0.0588	-0.09139	-0.20081	-0.2157	0.01588	-0.109	0.17169	-0.05416	-0.12112	-0.03431	-0.09017	-0.05609	1.08902	0.13849	0.26939	-0.01768	-0.08555	-0.04973	0.20331	-0.02326	-0.31854	-0.23051	-0.1635	0.00886	0.26762	0.23729
YKL062W	-0.67399	-0.34877	-0.25279	0.98871	0.00996	1.13775	-0.2262	0.52868	0.03765	0.01585	0.17613	-0.62631	-0.23396	0.01837	0.62292	-0.62098	-0.67963	-0.1395	0.96597	0.75701	-0.28564	-1.39829	0.32239	-0.14556	-0.0215	0.15145	-1.17323	-0.77417	-0.11627	0.06019	0.18501	-0.74464	-0.27442	-0.0777	0.63565	-0.10863	-0.78755	0.67686	0.38458	0.54806	0.24359	-0.43285	-1.41286	0.18769	-0.36164	-0.42289	0.51037	-0.03334	-0.10393	1.00561	-0.35433	-0.83928	0.21731	0.01992	-0.25307	0.01559	0.12587	-0.30293	-0.40619	-0.78159	0.11371	-0.58954	0.46512	-0.09849	-0.13501	0.3138	0.33226	-0.39353	-0.56859	0.0464	0.38674	-0.20466	-1.14454	-0.09433	-1.43473	-0.67011	0.41058	0.00388	-0.48047	0.46999	0.38255	-0.63242	0.04749	0.45769	0.23489	0.3807	0.64387	0.59611	-0.03823	0.40116	0.53723	0.01547	0.26856	0.54521	-0.416	-0.24413	0.12114	-1.04178	-0.14686	0.15999	0.49306	-0.03991	0.55493	0.38806	-0.13541	-0.11175	0.06276	-0.81287	-0.00808	-0.41053	0.10772
YMR280C	-0.11549	-0.25316	-0.30925	0.37938	0.03321	0.03865	-0.21159	0.4866	-0.24426	0.08319	-0.08781	-0.04303	-0.03661	-0.0204	0.00353	0.30067	-0.34202	-0.02248	0.16543	0.10228	-0.06291	-0.39382	-0.22747	0.03796	-0.24785	0.10244	-0.51018	-0.13441	0.26071	0.00016	-0.30891	1.9439	-0.22833	-0.1969	0.19474	-0.23563	-0.16603	-0.15994	-0.25921	-0.38631	-0.18411	-0.26629	-0.35407	-0.21993	-0.24526	-0.71863	0.20288	0.14214	0.43403	0.39548	-0.2458	-0.45248	0.39582	0.20244	-0.57377	-0.16228	0.06183	0.4342	0.2638	0	0.17172	-0.10684	-0.01989	-0.51999	-0.51752	-0.04309	-0.15601	-0.65325	-0.60572	0.03183	0.22903	-0.25906	-0.51119	-0.28208	0.45215	-0.44209	0.02466	-0.21581	-0.20236	0.07282	-0.22658	-0.38046	0.05765	-0.0768	-0.20319	-0.13411	0.45253	-0.14516	-0.18215	-0.10657	-0.06066	-0.19518	0.06723	-0.24311	-0.03185	0.23014	0.19843	-0.13715	0.15041	-0.05962	0.07235	0.03581	-0.4061	-0.09304	-0.03584	0	0.17434	1.27998	-0.57215	-0.10683	0
YOR032C	-0.58497	0.02549	-0.38416	2.30958	0.53772	2.05352	0.10606	1.28043	0.19638	0.0698	0.36824	-0.15215	-0.06386	0.27771	0.8466	0.08874	-0.31167	-0.05608	1.00239	0.21969	-0.28106	-0.81456	0.24126	-0.00775	1.08887	0.74449	-0.50476	-0.26685	0.57289	0.08897	0.28713	0.15722	-0.32634	0.59892	0.34509	-0.48667	0.08498	1.11174	0.06802	0.60702	-0.11386	-0.2939	-0.1292	0.86053	0.19291	-0.0315	0.7574	0.07876	0.26336	1.06182	0.46737	-0.51591	0.55533	0.52603	-0.37659	0.28422	0.22606	-0.14505	0	0	0.97442	-0.19668	0.70041	0.57574	1.18112	-0.02518	-0.04834	-0.20733	-0.24001	0.38141	0.11087	-0.06968	-0.64822	0.81578	-1.77825	0.70891	-0.13633	0.53139	0.2301	1.18923	0.57471	-0.01752	-0.02558	0.52617	0.57078	0.60166	1.00783	0.34416	0.27127	0.1795	1.4754	0.10989	-0.27206	1.19465	0.10355	0.41144	0.39226	-1.03886	0.47791	-0.1302	1.58757	0.31879	1.96358	-0.37529	-0.28281	0.09491	0.56013	0.26471	-0.25	-0.55988	0.50665
